,match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots,tourney_date,sm,tourney_name,sm2
16718,20150503-M-Istanbul-F-Roger_Federer-Pablo_Cuevas,Roger Federer,Total,78,33,63,32,63,32,1,370,20150503,M,Istanbul,F
16739,20150503-M-Istanbul-F-Roger_Federer-Pablo_Cuevas,Pablo Cuevas,Total,72,21,47,19,47,19,0,241,20150503,M,Istanbul,F
16760,20150505-M-Madrid_Masters-R64-Fernando_Verdasco-Guillermo_Garcia_Lopez,Fernando Verdasco,Total,72,34,55,28,54,28,5,346,20150505,M,Madrid_Masters,R64
16781,20150505-M-Madrid_Masters-R64-Fernando_Verdasco-Guillermo_Garcia_Lopez,Guillermo Garcia Lopez,Total,81,28,58,24,56,24,0,381,20150505,M,Madrid_Masters,R64
16802,20150506-M-Madrid_Masters-R32-Leonardo_Mayer-Feliciano_Lopez,Leonardo Mayer,Total,84,26,49,24,48,24,0,250,20150506,M,Madrid_Masters,R32
16823,20150506-M-Madrid_Masters-R32-Leonardo_Mayer-Feliciano_Lopez,Feliciano Lopez,Total,88,23,55,20,55,20,1,298,20150506,M,Madrid_Masters,R32
16844,20150507-M-Madrid_Masters-R16-Grigor_Dimitrov-Stan_Wawrinka,Grigor Dimitrov,Total,83,22,55,20,50,20,0,252,20150507,M,Madrid_Masters,R16
16865,20150507-M-Madrid_Masters-R16-Grigor_Dimitrov-Stan_Wawrinka,Stan Wawrinka,Total,102,34,77,32,68,32,2,400,20150507,M,Madrid_Masters,R16
16886,20150507-M-Madrid_Masters-R16-John_Isner-Nick_Kyrgios,John Isner,Total,98,31,62,29,55,29,9,289,20150507,M,Madrid_Masters,R16
16907,20150507-M-Madrid_Masters-R16-John_Isner-Nick_Kyrgios,Nick Kyrgios,Total,84,14,31,12,31,12,0,182,20150507,M,Madrid_Masters,R16
16928,20150507-M-Madrid_Masters-R16-Tomas_Berdych-Jo_Wilfried_Tsonga,Tomas Berdych,Total,54,23,44,21,40,21,1,219,20150507,M,Madrid_Masters,R16
16948,20150507-M-Madrid_Masters-R16-Tomas_Berdych-Jo_Wilfried_Tsonga,Jo Wilfried Tsonga,Total,60,18,43,17,41,17,2,237,20150507,M,Madrid_Masters,R16
16969,20150509-M-Madrid_Masters-F-Andy_Murray-Rafael_Nadal,Andy Murray,Total,47,18,40,17,38,17,1,294,20150509,M,Madrid_Masters,F
16990,20150509-M-Madrid_Masters-F-Andy_Murray-Rafael_Nadal,Rafael Nadal,Total,52,14,41,13,37,13,0,285,20150509,M,Madrid_Masters,F
17011,20150509-M-Madrid_Masters-SF-Kei_Nishikori-Andy_Murray,Kei Nishikori,Total,58,18,40,16,35,16,3,202,20150509,M,Madrid_Masters,SF
17032,20150509-M-Madrid_Masters-SF-Kei_Nishikori-Andy_Murray,Andy Murray,Total,71,33,63,32,61,32,5,345,20150509,M,Madrid_Masters,SF
17053,20150511-M-Rome_Masters-R64-Jack_Sock-Gilles_Simon,Jack Sock,Total,92,32,70,29,65,29,1,463,20150511,M,Rome_Masters,R64
17074,20150511-M-Rome_Masters-R64-Jack_Sock-Gilles_Simon,Gilles Simon,Total,101,41,64,36,61,36,2,305,20150511,M,Rome_Masters,R64
17095,20150511-M-Rome_Masters-R64-Steve_Johnson-Fabio_Fognini,Steve Johnson,Total,70,18,56,16,54,16,0,326,20150511,M,Rome_Masters,R64
