,match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep,tourney_date,sm,tourney_name,sm2
76229,20110220-M-Memphis-F-Andy_Roddick-Milos_Raonic,Milos Raonic,Total,64,13,45,5,6,3,3,0,0,20110220,M,Memphis,F
76247,20080814-M-Olympics-QF-Novak_Djokovic-Gael_Monfils,Novak Djokovic,Total,65,8,53,15,4,1,3,0,0,20080814,M,Olympics,QF
76265,20080814-M-Olympics-QF-Novak_Djokovic-Gael_Monfils,Gael Monfils,Total,80,19,58,13,2,0,0,1,0,20080814,M,Olympics,QF
76283,20210530-M-Roland_Garros-R128-Hubert_Hurkacz-Botic_Van_De_Zandschulp,Hubert Hurkacz,Total,127,27,96,40,8,4,1,2,1,20210530,M,Roland_Garros,R128
76301,20210530-M-Roland_Garros-R128-Hubert_Hurkacz-Botic_Van_De_Zandschulp,Botic Van De Zandschulp,Total,109,31,70,33,11,2,6,2,1,20210530,M,Roland_Garros,R128
76319,20210527-M-Roland_Garros-Q3-Botic_Van_De_Zandschulp-Illya_Marchenko,Botic Van De Zandschulp,Total,48,10,37,16,2,0,0,2,0,20210527,M,Roland_Garros,Q3
76337,20210527-M-Roland_Garros-Q3-Botic_Van_De_Zandschulp-Illya_Marchenko,Illya Marchenko,Total,29,4,24,12,1,0,1,0,0,20210527,M,Roland_Garros,Q3
76355,20210525-M-Roland_Garros-Q1-Renzo_Olivo-Robin_Haase,Renzo Olivo,Total,76,14,60,33,6,0,3,2,1,20210525,M,Roland_Garros,Q1
76373,20210525-M-Roland_Garros-Q1-Renzo_Olivo-Robin_Haase,Robin Haase,Total,102,25,75,31,2,1,1,0,0,20210525,M,Roland_Garros,Q1
76391,19860606-M-Roland_Garros-SF-Henri_Leconte-Mikael_Pernfors,Henri Leconte,Total,70,13,54,7,3,1,1,0,1,19860606,M,Roland_Garros,SF
